  m             v             log10(rho)    log10(temp)   he4           c12           o16           ne20         mg24          si28          s32           ar36         ca40          ti44          cr48          fe52         fe54          ni56          ni57          ni58          ni59          ni60          ni61          ni62
  Msol          cm/s          g/cm^3        K
  4.30078e-01   8.04030e+08   2.43520e+00   7.60890e+00   1.86206e-02   8.12295e-06   2.97800e-08   5.68481e-08  8.73663e-08   1.06262e-06   4.92478e-06   6.60279e-06  6.83516e-05   3.14285e-05   5.99110e-05   1.10513e-04  7.64880e-09   9.08454e-01   2.08863e-02   1.50933e-02   9.45119e-04   3.04265e-02   9.14267e-04   4.36927e-03
  4.53562e-01   8.28590e+08   2.40570e+00   7.60170e+00   1.91760e-02   8.43933e-06   3.14158e-08   5.98336e-08  9.19296e-08   1.11515e-06   5.12700e-06   6.85113e-06  7.12612e-05   3.29273e-05   6.33327e-05   1.15476e-04  7.92207e-09   9.07693e-01   2.09445e-02   1.48874e-02   9.46908e-04   3.07600e-02   9.25649e-04   4.36210e-03
  4.77057e-01   8.53300e+08   2.37570e+00   7.60010e+00   1.95441e-02   8.48016e-06   3.18070e-08   6.03429e-08  9.26501e-08   1.11975e-06   5.15712e-06   6.93647e-06  7.25768e-05   3.34895e-05   6.50424e-05   1.18957e-04  8.04532e-09   9.07445e-01   2.10386e-02   1.46894e-02   9.42574e-04   3.07542e-02   9.32042e-04   4.34260e-03
  5.00507e-01   8.77510e+08   2.35220e+00   7.59900e+00   2.00463e-02   8.61562e-06   3.26773e-08   6.18135e-08  9.48989e-08   1.14396e-06   5.30017e-06   7.18007e-06  7.50997e-05   3.44409e-05   6.68661e-05   1.22769e-04  8.28311e-09   9.07056e-01   2.11217e-02   1.45043e-02   9.39217e-04   3.07432e-02   9.37137e-04   4.33029e-03
  5.23857e-01   9.01190e+08   2.32160e+00   7.60100e+00   2.01440e-02   8.28858e-06   3.15134e-08   5.92777e-08  9.08531e-08   1.09813e-06   5.17875e-06   7.04400e-06  7.30478e-05   3.31259e-05   6.40171e-05   1.18715e-04  8.07531e-09   9.07901e-01   2.11543e-02   1.44591e-02   9.29092e-04   2.99609e-02   9.14159e-04   4.22647e-03
  5.47054e-01   9.24140e+08   2.28830e+00   7.60490e+00   1.99526e-02   7.65464e-06   2.90281e-08   5.41041e-08  8.25871e-08   1.00488e-06   4.84055e-06   6.59204e-06  6.77510e-05   3.04425e-05   5.90875e-05   1.10381e-04  7.57182e-09   9.09484e-01   2.11569e-02   1.45038e-02   9.14554e-04   2.87555e-02   8.77768e-04   4.06651e-03
  5.70050e-01   9.47530e+08   2.25440e+00   7.60960e+00   1.93527e-02   6.63221e-06   2.47830e-08   4.55110e-08  6.90928e-08   8.47546e-07   4.18492e-06   5.71209e-06  5.86632e-05   2.62204e-05   5.10984e-05   9.39968e-05  6.69072e-09   9.12061e-01   2.11391e-02   1.47083e-02   8.94882e-04   2.70003e-02   8.17291e-04   3.77845e-03
  5.92800e-01   9.72750e+08   2.21580e+00   7.61520e+00   1.80773e-02   5.15143e-06   1.85414e-08   3.34861e-08  5.06332e-08   6.26923e-07   3.20028e-06   4.38469e-06  4.52702e-05   2.00256e-05   3.86640e-05   7.00847e-05  5.54650e-09   9.16376e-01   2.11038e-02   1.51044e-02   8.64022e-04   2.42338e-02   7.19786e-04   3.33357e-03
  6.15263e-01   9.99190e+08   2.17950e+00   7.61950e+00   1.57711e-02   3.33524e-06   1.12805e-08   2.01006e-08  3.03840e-08   3.80450e-07   2.03537e-06   2.79276e-06  2.89438e-05   1.24786e-05   2.40211e-05   4.32536e-05  4.54459e-09   9.22910e-01   2.10357e-02   1.56876e-02   8.14100e-04   2.03308e-02   5.90401e-04   2.74245e-03
  6.37394e-01   1.02580e+09   2.14620e+00   7.62340e+00   1.20519e-02   1.53571e-06   4.86085e-09   8.52212e-09  1.29269e-08   1.63062e-07   9.25777e-07   1.25929e-06  1.30379e-05   5.34029e-06   1.04118e-05   1.88884e-05  4.64304e-09   9.32268e-01   2.08475e-02   1.65247e-02   7.30921e-04   1.51114e-02   4.25843e-04   1.98865e-03
  6.59156e-01   1.05290e+09   2.10520e+00   7.63020e+00   7.12409e-03   3.67070e-07   1.16043e-09   1.92895e-09  2.93178e-09   3.66260e-08   2.18086e-07   2.84218e-07  2.95488e-06   1.10963e-06   2.23106e-06   4.60192e-06  1.10763e-08   9.44055e-01   2.03135e-02   1.76858e-02   5.95737e-04   8.85994e-03   2.36918e-04   1.11704e-03
  6.80520e-01   1.08040e+09   2.07410e+00   7.63080e+00   9.07974e-05   6.21242e-12   1.21378e-13   6.77440e-14  9.02803e-14   8.11530e-13   2.83182e-12   3.20537e-11  3.52522e-07   6.98543e-08   6.23792e-07   8.12700e-04  1.02495e-05   9.61622e-01   1.62964e-02   2.09721e-02   7.96320e-05   9.61184e-05   3.95996e-06   1.47988e-05
  7.01456e-01   1.10660e+09   2.04360e+00   7.62990e+00   4.33564e-10   1.69649e-10   1.44037e-09   2.14638e-13  2.29063e-09   7.41389e-04   1.66895e-03   1.16136e-03  3.56245e-03   7.68615e-06   3.92388e-04   1.83691e-02  1.59541e-02   9.46647e-01   7.58235e-03   3.91318e-03   3.07106e-07   9.88449e-09   4.76637e-10   3.09238e-09
  7.21924e-01   1.13290e+09   2.01040e+00   7.62580e+00   3.05132e-11   1.53066e-09   1.03756e-08   7.08157e-13  2.10297e-08   4.27074e-03   6.97116e-03   3.56581e-03  8.07856e-03   1.25938e-05   6.72754e-04   2.42269e-02  1.68920e-02   9.25609e-01   6.64055e-03   3.05919e-03   2.14635e-07   6.70878e-09   2.94607e-10   1.67529e-09
  7.41915e-01   1.16120e+09   1.97300e+00   7.60830e+00   1.29317e-11   4.30717e-09   2.66285e-08   1.49615e-12  5.72883e-08   9.66072e-03   1.38542e-02   6.25025e-03  1.24896e-02   1.71871e-05   8.59556e-04   2.71776e-02  1.72305e-02   9.03493e-01   6.21028e-03   2.75702e-03   1.86804e-07   5.76250e-09   2.44295e-10   1.33129e-09
  7.61397e-01   1.18990e+09   1.94290e+00   7.60080e+00   7.53980e-12   8.43725e-09   4.91183e-08   2.48342e-12  1.08490e-07   1.63704e-02   2.16647e-02   9.03592e-03  1.66843e-02   2.12276e-05   1.00127e-03   2.89990e-02  1.74212e-02   8.80285e-01   5.92880e-03   2.58739e-03   1.72468e-07   5.23762e-09   2.18467e-10   1.17065e-09
  7.80351e-01   1.21650e+09   1.90670e+00   7.59950e+00   4.70765e-12   1.47601e-08   8.16783e-08   3.86315e-12  1.84042e-07   2.53633e-02   3.14079e-02   1.22759e-02  2.12206e-02   2.52674e-05   1.12967e-03   3.03348e-02  1.75593e-02   8.52537e-01   5.68641e-03   2.45931e-03   1.62446e-07   4.87235e-09   2.01056e-10   1.05682e-09
  7.98761e-01   1.24240e+09   1.87910e+00   7.59290e+00   2.88091e-12   2.54778e-08   1.34309e-07   6.03740e-12  3.13297e-07   3.91177e-02   4.52946e-02   1.65885e-02  2.68144e-02   2.99558e-05   1.25981e-03   3.13085e-02  1.77161e-02   8.14112e-01   5.41718e-03   2.34074e-03   1.54369e-07   4.56466e-09   1.85883e-10   9.47311e-10
  8.16602e-01   1.27110e+09   1.83890e+00   7.57020e+00   1.74098e-12   4.22548e-08   2.13313e-07   9.09999e-12  5.22002e-07   5.87844e-02   6.37395e-02   2.19127e-02  3.31582e-02   3.49822e-05   1.37488e-03   3.16664e-02  1.79176e-02   7.64052e-01   5.12090e-03   2.23730e-03   1.49120e-07   4.25838e-09   1.72392e-10   8.53584e-10
  8.33887e-01   1.29890e+09   1.81600e+00   7.55470e+00   9.97451e-13   6.66354e-08   3.24488e-07   1.31065e-11  8.34769e-07   8.51320e-02   8.66639e-02   2.80315e-02  3.98028e-02   3.98028e-05   1.46001e-03   3.12488e-02  1.81646e-02   7.02503e-01   4.80076e-03   2.15141e-03   1.47102e-07   3.96271e-09   1.61086e-10   7.86703e-10
  8.50582e-01   1.32580e+09   1.76570e+00   7.55210e+00   5.03035e-13   1.07062e-07   5.06626e-07   1.93310e-11  1.38145e-06   1.26150e-01   1.19360e-01   3.59553e-02  4.74221e-02   4.44288e-05   1.50524e-03   2.96125e-02  1.85219e-02   6.14989e-01   4.37286e-03   2.06486e-03   1.48086e-07   3.65056e-09   1.50024e-10   7.29764e-10
  8.66694e-01   1.35260e+09   1.73820e+00   7.53630e+00   2.80037e-13   1.62088e-07   7.56237e-07   2.79381e-11  2.17402e-06   1.77971e-01   1.56602e-01   4.39432e-02  5.38472e-02   4.72408e-05   1.47788e-03   2.67441e-02  1.89387e-02   5.14531e-01   3.89978e-03   1.99371e-03   1.53481e-07   3.45576e-09   1.43015e-10   6.88168e-10
  8.82209e-01   1.38340e+09   1.69530e+00   7.49840e+00   1.68390e-13   2.28521e-07   1.07039e-06   3.89241e-11  3.21510e-06   2.36585e-01   1.93850e-01   5.07357e-02  5.78364e-02   4.75497e-05   1.37599e-03   2.29892e-02  1.94202e-02   4.11818e-01   3.40580e-03   1.93215e-03   1.63380e-07   3.41880e-09   1.39642e-10   6.57121e-10
  8.97129e-01   1.40800e+09   1.67640e+00   7.48250e+00   1.02292e-13   3.07451e-07   1.47526e-06   5.26872e-11  4.56297e-06   3.00602e-01   2.28758e-01   5.56877e-02  5.88957e-02   4.52500e-05   1.20875e-03   1.86525e-02  1.99841e-02   3.11399e-01   2.88848e-03   1.87160e-03   1.78623e-07   3.59817e-09   1.39728e-10   6.35277e-10
  9.11439e-01   1.43660e+09   1.62720e+00   7.48560e+00   6.77420e-14   3.86143e-07   1.92870e-06   6.75951e-11  6.00904e-06   3.57990e-01   2.54429e-01   5.79204e-02  5.71625e-02   4.12584e-05   1.02565e-03   1.47737e-02  2.05250e-02   2.31873e-01   2.43589e-03   1.81537e-03   1.97392e-07   4.07566e-09   1.44509e-10   6.25380e-10
  9.25158e-01   1.46200e+09   1.60340e+00   7.45370e+00   4.31141e-14   4.76008e-07   2.53845e-06   8.66124e-11  7.80795e-06   4.16407e-01   2.74192e-01   5.79049e-02  5.29133e-02   3.55719e-05   8.19628e-04   1.10091e-02  2.11190e-02   1.61858e-01   1.98226e-03   1.74943e-03   2.23022e-07   5.10711e-09   1.55933e-10   6.21622e-10
  9.38272e-01   1.49110e+09   1.54400e+00   7.45230e+00   3.34509e-14   5.52295e-07   3.13541e-06   1.04681e-10  9.38461e-06   4.57444e-01   2.83505e-01   5.64226e-02  4.85027e-02   3.08605e-05   6.71581e-04   8.57613e-03  2.15544e-02   1.19910e-01   1.67234e-03   1.69627e-03   2.47366e-07   6.45838e-09   1.71351e-10   6.25463e-10
  9.50790e-01   1.51950e+09   1.48650e+00   7.44050e+00   3.09545e-14   6.32001e-07   3.85518e-06   1.25633e-10  1.10764e-05   4.93790e-01   2.88056e-01   5.40245e-02  4.36966e-02   2.63100e-05   5.43098e-04   6.62562e-03  2.19488e-02   8.82241e-02   1.40662e-03   1.64292e-03   2.74947e-07   8.43279e-09   1.92642e-10   6.32465e-10
  9.62719e-01   1.55050e+09   1.43730e+00   7.44420e+00   3.12156e-14   7.01895e-07   4.53893e-06   1.45382e-10  1.25055e-05   5.19223e-01   2.88907e-01   5.17365e-02  3.98988e-02   2.30366e-05   4.57940e-04   5.40514e-03  2.22251e-02   6.92746e-02   1.22896e-03   1.60226e-03   2.99458e-07   1.05559e-08   2.14544e-10   6.41562e-10
  9.74054e-01   1.57950e+09   1.37890e+00   7.42490e+00   3.34019e-14   7.60852e-07   5.12941e-06   1.62677e-10  1.36461e-05   5.36335e-01   2.88294e-01   4.99225e-02  3.71731e-02   2.08502e-05   4.04172e-04   4.66212e-03  2.24055e-02   5.80745e-02   1.11510e-03   1.57315e-03   3.19491e-07   1.25099e-08   2.34095e-10   6.50967e-10
  9.84815e-01   1.61260e+09   1.32270e+00   7.42120e+00   3.71731e-14   8.13284e-07   5.64730e-06   1.78050e-10  1.45886e-05   5.48657e-01   2.87224e-01   4.84860e-02  3.51403e-02   1.93079e-05   3.67756e-04   4.17027e-03  2.25304e-02   5.07950e-02   1.03682e-03   1.55162e-03   3.36325e-07   1.42804e-08   2.51646e-10   6.60573e-10
  9.94994e-01   1.64680e+09   1.26630e+00   7.42120e+00   4.27766e-14   8.57480e-07   6.03531e-06   1.90389e-10  1.52848e-05   5.56232e-01   2.86262e-01   4.75497e-02  3.38509e-02   1.84025e-05   3.47142e-04   3.89261e-03  2.26014e-02   4.66934e-02   9.92039e-04   1.53821e-03   3.48591e-07   1.55706e-08   2.65064e-10   6.69573e-10
  1.00462e+00   1.68150e+09   1.20280e+00   7.42260e+00   4.99917e-14   8.98891e-07   6.39262e-06   2.02137e-10  1.59228e-05   5.62498e-01   2.85334e-01   4.67608e-02  3.27831e-02   1.76904e-05   3.30431e-04   3.66966e-03  2.26577e-02   4.34415e-02   9.55751e-04   1.52704e-03   3.60135e-07   1.68079e-08   2.78045e-10   6.79075e-10
  1.01368e+00   1.71780e+09   1.13250e+00   7.41800e+00   5.95427e-14   9.38430e-07   6.75407e-06   2.14397e-10  1.64325e-05   5.67476e-01   2.84952e-01   4.62646e-02  3.20792e-02   1.72535e-05   3.11729e-04   3.43394e-03  2.27103e-02   4.02860e-02   9.21007e-04   1.52282e-03   3.75185e-07   1.83803e-08   2.95193e-10   6.97036e-10
  1.02220e+00   1.75560e+09   1.05270e+00   7.40880e+00   7.49489e-14   9.56156e-07   7.08718e-06   2.28663e-10  1.63025e-05   5.66876e-01   2.88179e-01   4.73994e-02  3.32302e-02   1.82021e-05   2.73709e-04   3.00803e-03  2.27700e-02   3.57871e-02   8.79811e-04   1.55359e-03   4.13995e-07   2.21637e-08   3.38519e-10   7.59718e-10
